domain,window,cohort,avg_specificity,client_keys,demonstrated_combo,demonstrated_depth,hhi_channel,hhi_craft,hhi_geo,hhi_industry,hhi_job,hhi_model,hhi_stage,inc_n_stated_channel,inc_n_stated_craft,inc_n_stated_geo,inc_n_stated_industry,inc_n_stated_job,inc_n_stated_model,inc_n_stated_stage,inc_top1_channel,inc_top1_craft,inc_top1_geo,inc_top1_industry,inc_top1_job,inc_top1_model,inc_top1_stage,n_anonymous_rows,n_carried,n_case_rows,n_distinct_clients,n_dropped,n_new_clients,n_stated_channel,n_stated_craft,n_stated_geo,n_stated_industry,n_stated_job,n_stated_model,n_stated_stage,pivot_year,share_full_page,share_numeric,top1_channel,top1_craft,top1_geo,top1_industry,top1_job,top1_model,top1_stage,topbucket_channel,topbucket_craft,topbucket_geo,topbucket_industry,topbucket_job,topbucket_model,topbucket_stage,truncated
michaelryan-zuurstof,today,original340,1.297,aenergie;amsta;amstazorg;annatommiemc;broersmamakelaardij;buijsregiomakelaars;cityhub;deandreaskerk;defitfactor;desocialemaatschap;dreefbeheer;evean;explorius;goodman;jolberttennapel;kabouterhuis;konicaminolta;leviaan;lidlvastgoed;liftinstituut;lyvore;noordhoff;omgevingsdiensthaaglanden;proteqs;reumanederland;sealpacinternational;sick;sorgente;suzanneovergaag;teamflex;triadevitree;unoamsterdam;unovumc;vanaanpak;verobio;vesteda;vincotte,industry+channel+geo,3,0.333,0.22,0.389,0.355,0.281,1.0,,,,,,,,,,,,,,,,1,,64,37,,,6,30,6,11,8,1,0,,0.0,0.0,0.5,0.333,0.5,0.545,0.375,1.0,,Website & CMS,Website & webdesign,Nederlandse stad of plaats,Healthcare & care,Personeel werven & werkgeversmerk,Zakelijke afnemers (B2B),,True
michel-ariens,today,original340,2.0,ekliving;eknederland;energyup;icetubs;ovenheerlijk;suite702;vintagecashcow;welvaere,,0,1.0,0.2,1.0,0.333,0.5,,,,,,,,,,,,,,,,,1,,9,8,,,1,5,1,3,2,0,0,,0.0,0.625,1.0,0.2,1.0,0.333,0.5,,,"Content, video & PR","Video, animatie & fotografie",Internationaal / wereldwijd,"Food, beverage & agriculture",Advertenties & campagnes renderen niet,,,True
michieldewijn,today,original340,1.75,emersonprocessmanagement;foxholemusic;keukenhof;maersk,craft+job+geo,3,0.5,0.375,0.556,0.333,0.556,1.0,1.0,,,,,,,,,,,,,,,0,,4,4,,,2,4,3,3,3,2,1,,0.0,0.0,0.5,0.5,0.667,0.333,0.667,1.0,1.0,Social media organisch,Branding & huisstijl,Heel Nederland (landelijk),"Hospitality, tourism, sports & recreation","Merk, huisstijl & verhaal",Zakelijke afnemers (B2B),Omvang in cijfers,False
jordy-sweers-53a582b5,today,original340,1.0,abelreizen;abelreizennl;flamecontrol;hellebrekers;klaassendakkapellen;lizalau;mantrec;outlux;stortslurf;toplawood;vanessencardetailing;vdhinstallatietechnieknl;velunovanl;werkmettalentnl,craft+job,2,1.0,0.355,1.0,,0.375,1.0,,,,,,,,,,,,,,,,0,,18,14,,,1,11,1,0,4,1,0,,0.0,0.0,1.0,0.545,1.0,,0.5,1.0,,Webshop & e-commerceplatform,Website & webdesign,Internationaal / wereldwijd,,Maatwerk software & efficiëntere processen,Webshop consumenten (D2C),,False
jorggijsbers,today,original340,1.095,actieleernetwerk;backofficer;bomenenzo;brabantwonen;camperhurennl;donkersvagparts;kinderrijk;komzorgendannl;koninklijkehandboogsportnederland;pijlers;potonline;royaalbuiten;sanbio;terrasbeglazingopmaat;vanberlocementdekvloeren;vanderlande;vangemertondermode;vlonderplaatwerk;walkro;wickey;willemdesignvloeren,channel,1,0.375,0.281,0.5,1.0,0.28,1.0,,,,,,,,,,,,,,,,0,,28,21,,,4,8,2,1,5,2,0,,0.0,0.048,0.5,0.375,0.5,1.0,0.4,1.0,,Website & CMS,Branding & huisstijl,Internationaal / wereldwijd,Retail & e-commerce (general consumer goods),"Meer leads, aanvragen & verkoop",Webshop consumenten (D2C),,False
joyce-p-3307566,today,original340,1.333,albertheijn;exactbusinesssoftware;illuminatamedia;kwfkankerbestrijding;rabobank;welzaamvleutendemeern,,0,0.5,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,0,,7,6,,,2,1,2,2,0,0,0,,0.0,0.0,0.5,1.0,0.5,0.5,,,,Social media organisch,Campagnes & creatieve concepten,Specifiek buitenland,"Media, culture & entertainment",,,,True
judith-gerritsen-19ba615,today,original340,1.0,coachcenter;deburgerreserve;dekroon;filiaaltheatermakers;hospicealtena;ishdancecollective;kindercampusmolenpark;kinderenvoorkinderen;koningsspelen;krajicekfoundation;nxt;right2grow;seksueelwelzijnnl,,0,,,1.0,,,,,,,,,,,,,,,,,,,0,,19,13,,,0,0,1,0,0,0,0,,0.0,0.0,,,1.0,,,,,,,Heel Nederland (landelijk),,,,,False
ascend-online.nl,today,control,1.429,axelllogistics;fabory;jeroenkneppers;renewi;sureshsital;tuinplantenwinkel;vacanceselect,craft+channel,2,0.625,0.44,,,0.5,,,,,,,,,,,,,,,,,0,,10,7,,,4,5,0,0,2,0,0,2022,0.0,0.429,0.75,0.6,,,0.5,,,"SEA, display & overige paid advertising",Online adverteren (paid ads),,,Beter vindbaar in Google,,,False
asociaalmarketing.nl,today,control,1.615,drukbazen;dutchdutchcustoms;erasmusuniversiteitrotterdam;flamengolife;gfk;keukenstudiogouda;klevermobility;lauravannerem;loccitane;shaoruiwieringchang;simonkempers;trixxouitzendbureau;vincent,job+channel+geo,3,0.375,0.16,0.68,0.25,0.375,1.0,,,,,,,,,,,,,,,,4,,28,13,,,4,10,5,4,4,1,0,2023,0.0,0.308,0.5,0.2,0.8,0.25,0.5,1.0,,Webshop & e-commerceplatform,Online adverteren (paid ads),Nederland plus buurlanden,"Transport, logistics & automotive",Naamsbekendheid & zichtbaarheid,Webshop consumenten (D2C),,False
atlantiscreative.nl,today,control,1.0,arcmarine;erasmusmcclmz;frankelandgroep;grizzenergygum;kokwatersport;magentazorg;marente;nissewaardwoontnl;pbmdiscounter;smartsd,,0,,0.235,0.5,,,0.5,,,,,,,,,,,,,,,,0,,26,10,,,0,9,2,0,0,2,0,2024,0.0,0.0,,0.333,0.5,,,0.5,,,Webshop & e-commerce,Heel Nederland (landelijk),,,Webshop B2B,,False
atypisch.nl,today,narrower,1.28,aixros;allemanwelzijn;altero;amstelstad;amstelstadaccountants;amvjfonds;ardanza;artofbranding;avestadvocaten;axisintomanagement;beeldgeluid;bijbio;boronmanagement;brandnewgame;capcloud;cardiobridge;copilots;creativecommonsnederland;csdi;defigners;deutrechtsekinderboekwinkel;digitalecollectie;domainelehautverger;dutchcreen;editio;evolvers;floorhilgers;frisseoren;grafimedia;greenpeace;gutsglorious;herbergdekopvantland;hollandpropertyplaza;innov;joline;laternamagica;maartenjamin;maximusbrouwerij;mediapact;metaalkathedraal;mijksenaar;mrbeam;nefos;nintendowii;noordagenda;nudus;okra;primevestcapitalpartners;printsofthieves;prorail;radio6;reclasseringnederland;rijksoverheid;rivalfoods;royalfloraholland;rtlnederland;rudutrecht;socialimpactfactory;somedayim;studiovegter;sutori;todaydesigners;trueideas;universiteittwente;universiteitutrecht;uppig;vanvlissingenfoundation;vng;vpro;vpsbeveiliging;vuurtoreneiland;woudvanwapiti;wpgmedia;youngstartup;zilvermax,geo,1,,1.0,0.722,0.195,,,,,,,,,,,,,,,,,,0,,92,75,,,0,1,6,20,0,0,0,2020,0.0,0.0,,1.0,0.833,0.35,,,,,Website & webdesign,Nederlandse stad of plaats,Business & professional services,,,,True
leadi.nl,today,narrower,3.0,certo;forp;planeka,industry,1,,,,0.556,,,,,,,,,,,,,,,,,,0,,6,3,,,0,0,0,3,0,0,0,2023,0.0,1.0,,,,0.667,,,,,,,Business & professional services,,,,False
leadsmaster.nl,today,control,1.933,amplifyagency;barbarakloosterman;benjaminelyamani;christiaansnabel;devideovakvrouw;fusionsoftware;hilsen;hilseninterior;levelupevents;matthijs;mtelektro;rapelektrotechniek;serenithjewels;simonkempers;textinc,job+channel,2,0.625,0.25,1.0,0.143,0.556,0.5,1.0,,,,,,,,,,,,,,,0,,26,15,,,4,8,2,7,3,2,1,2025,0.0,0.467,0.75,0.375,1.0,0.143,0.667,0.5,1.0,SEO & organische vindbaarheid,Strategie & advies,Regionaal (binnen Nederland),Healthcare & care,"Merk, huisstijl & verhaal",Zakelijke afnemers (B2B),Startup / jong / groeiend,True
lemonscentedtea.com,today,control,1.0,4en5meiamsterdam;cortina;deltaairlines;deltalloyd;earthline;goatorganicapparel;hamburgcommercialbank;heineken;ing;iss;knaap;loods5;nationalenederlanden;nuonvattenfall;ouwehandsdierenpark;pisangambon;thedalmore;utrechtrainbowfestival;veloretti;visitoost;visittwente,craft+geo,2,,1.0,1.0,,,,,,,,,,,,,,,,,,,0,,22,21,,,0,5,5,0,0,0,0,2025,0.0,0.0,,1.0,1.0,,,,,,Branding & huisstijl,Internationaal / wereldwijd,,,,,False
lesupermarche.nl,today,control,1.0,bmw;marathonrotterdam;nudeal;osb;unievanwaterschappen;urbanarrow,craft,1,,0.722,,,,,,,,,,,,,,,,,,,,0,,6,6,,,0,6,0,0,0,0,0,2024,0.0,0.0,,0.833,,,,,,,"Grafisch ontwerp, drukwerk & print",,,,,,False
exitable.nl,today,narrower,1.05,aevitae;bcmmusicsystems;diagnostiekvooru;emmakok;espero;gemeentevenlo;gigit;grodan;hertekcare;hydrorock;mijnculturelenalatenschap;mosadex;philzuid;rd4;rd4bedrijvenservice;rockpanel;rockwool;schmidt;sif;vasco,craft,1,,0.4,,,,1.0,,,,,,,,,,,,,,,,0,,33,20,,,0,10,0,0,0,1,0,2025,0.0,0.05,,0.6,,,,1.0,,,Apps & maatwerk platforms,,,,Zakelijke afnemers (B2B),,False
exsitemedia.nl,today,control,1.0,admod3d;amazonboutique;borstverkleiningkliniek;carpaaltunnelkliniek;coachenmetsterren;easternpowermeals;evertgroot;evertgrootoutlet;firsteleven;fredfinancieel;futuratournaments;halonetwerk;handpoli;harissavillasibiza;isconsultancy;jracademy;makeenergywork;miguelbaumann;poweredbyco;scmykaccessories;seleraanda;sportweekbadhoevedorp;stelladanceprojects;studiolokke;travelmediate;travelnistas;tutsh;ufloor;unispiceswazaran,channel,1,0.556,0.333,,,1.0,,,,,,,,,,,,,,,,,0,,33,29,,,3,3,0,0,1,0,0,2024,0.0,0.0,0.667,0.333,,,1.0,,,Social media organisch,Website & webdesign,,,"Merk, huisstijl & verhaal",,,False
eye-c.nl,today,control,1.2,coolersairco;dejongglasgevel;luxorlease;unicomm;vanheugtentours,craft,1,1.0,0.44,,1.0,1.0,,,,,,,,,,,,,,,,,0,,5,5,,,1,5,0,1,1,0,0,2023,0.0,0.0,1.0,0.6,,1.0,1.0,,,SEO & organische vindbaarheid,Website & webdesign,,"Transport, logistics & automotive",Personeel werven & werkgeversmerk,,,True
faktor22.nl,today,narrower,1.676,24tent;artsportaal;bhvnijmegen;carpediem;chiropractierevalidatie;companychallenges;computron;erasmusschooloflaw;fonium;fysiochirowijchen;gemeentenijmegen;goedrechtadvocaten;gsmreparatiedirect;gsmswitch;hozard;iddance;ikestyle;infostrait;interscreen;jtactive;keukenstudiowijchen;knmg;lichtlettershuren;partsifx;pontemcollegeisk;proforto;queencenter;relay42;rocnijmegen;rofraline;stretchtenthuren;tandartsbleekwal;theparkmovement;tizdesign;ultiprint;winestein;youmobile,channel+model+geo,3,0.556,0.278,1.0,0.182,,0.556,1.0,,,,,,,,,,,,,,,0,,51,37,,,3,33,3,15,0,3,1,2020,0.027,0.216,0.667,0.424,1.0,0.267,,0.667,1.0,SEO & organische vindbaarheid,Branding & huisstijl,Nederlandse stad of plaats,Healthcare & care,,"Overheid, zorg & onderwijs",MKB / middelgroot,False
fanwork.nl,today,narrower,1.75,amsterdamnoord;asrrealestate;centrumvleuterweide;promporteum,,0,1.0,0.5,,1.0,,,,,,,,,,,,,,,,,,4,,8,4,,,1,2,0,1,0,0,0,2015,0.25,0.25,1.0,0.5,,1.0,,,,"Branding, campagne & activatie",Strategie & advies,,Retail & e-commerce (general consumer goods),,,,True
renovatiomedia.nl,today,control,1.0,charlotteprinsvanwijngaarden;engbertsiderius;wendynoordzijl,,0,,1.0,,,,,,,,,,,,,,,,,,,,0,,3,3,,,0,1,0,0,0,0,0,2023,0.0,0.0,,1.0,,,,,,,Website & webdesign,,,,,,False
reynhard.nl,today,narrower,1.385,asoeurope;barackobamaeliudkipchogegift;bureaustrakz;canonnederland;coachnutrition;danvernon;eliudkipchoge;enexisnetbeheer;euregio;firstplast;grafischkabinet;healthvalleyevent2024;healthvalleytv;innopastry;intothecycle;martinsbakery;morningmiles;nnrunningteam;plazavenetia;postnl;powerkitchen;rickysrockparty;smiths;smurfitkappaparenco;wavy;zorgpinnl,craft+model+geo,3,1.0,0.483,0.375,0.24,,1.0,1.0,,,,,,,,,,,,,,,0,,45,26,,,1,22,4,10,0,3,1,2020,0.0,0.0,1.0,0.636,0.5,0.4,,1.0,1.0,Offline media & events,"Grafisch ontwerp, drukwerk & print",Nederlandse stad of plaats,"Food, beverage & agriculture",,Zakelijke afnemers (B2B),MKB / middelgroot,True
rocketing.nl,today,narrower,1.571,boltonnlborotalco;collistar;handsoffmychocolate;meatlessfarm;mitsubasnacks;spadel;spafruit,craft+job+channel,3,0.556,0.5,0.5,0.5,0.556,,,,,,,,,,,,,,,,,0,,7,7,,,3,6,2,2,3,0,0,2023,0.143,0.143,0.667,0.667,0.5,0.5,0.667,,,Offline media & events,Campagnes & creatieve concepten,Heel Nederland (landelijk),"Food, beverage & agriculture",Naamsbekendheid & zichtbaarheid,,,True
roxtar.nl,today,control,2.0,alexandervanwijngaarden;amyfoss;apollobeauty;avehuidkliniek;bertjonk;coatingvloer;deborahklaver;dehilversumsetandarts;dewifispecialist;doijerkalff;fatfreezingcenters;fixers;hilversumsetandarts;joachimhulscher;kopenaandecosta;medicalskinclinic;metain;mikehensen;mirjamwitteveen;mondzorgvinkeveen;newchapterkraamzorg;robbycoelho;rosannebuenting;skinlaserclinic;smaragdreizen;tandartsheeren;tigonaurik;verkoopjeautoaanons;verkoopjeautoaanonsnl;vitalderma,industry+job,2,0.306,0.191,1.0,0.306,0.375,,,,,,,,,,,,,,,,,0,,46,30,,,7,15,2,12,4,0,0,2010,0.0,0.567,0.429,0.267,1.0,0.5,0.5,,,Social media organisch,Website & webdesign,Nederlandse stad of plaats,Healthcare & care,Beter vindbaar in Google,,,False
2bmedia.nl,today,control,1.0,barendvanoort;frankvanleeuwen;josvandersanden;karelvandoorn;timdewit,craft+channel,2,1.0,0.68,,,1.0,,,,,,,,,,,,,,,,,0,,5,5,,,3,5,0,0,1,0,0,2024,0.0,0.0,1.0,0.8,,,1.0,,,SEO & organische vindbaarheid,Website & webdesign,,,"Meer leads, aanvragen & verkoop",,,True
2kwadraat.nl,today,control,3.0,hbityres,,0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,0,,1,1,,,0,1,1,1,0,0,0,2020,1.0,0.0,,1.0,1.0,1.0,,,,,Website & webdesign,Internationaal / wereldwijd,"Transport, logistics & automotive",,,,False
2manydots.nl,today,control,1.517,acait;alcoholvrijbierhuis;alku;amberalerteurope;avia;crowefoederer;elspessers;frissekoppen;grancanarianl;gstarraw;hip;idverdenl;ikbeneenbrabandernl;jacobsvanrooij;klokjerond;klokjerondhetwittewiel;koti;mondiaenmarketing;netpresenter;omroepbrabant;omroepbrabantreclame;opcharge;rudzeeland;smctilburg;stichtingamberalerteurope;teekenskarstens;teleperformance;vandermeijsglas;vivisol,channel+geo,2,0.373,0.219,1.0,0.111,,1.0,,,,,,,,,,,,,,,,0,,52,29,,,13,22,3,15,0,1,0,2023,0.0,0.0,0.538,0.409,1.0,0.2,,1.0,,Website & CMS,Website & webdesign,Regionaal (binnen Nederland),"Energy, utilities & environment",,Zakelijke afnemers (B2B),,False
michielentrop,today,original340,1.3,academievoorstressmanagement;borrenbergs;circe;embora;hspas;hutten;joanknecht;lekkerland;omron;prodrivetechnologies,craft,1,,0.68,,0.333,0.333,0.5,1.0,,,,,,,,,,,,,,,0,,19,10,,,0,5,0,3,3,2,1,,0.0,0.0,,0.8,,0.333,0.333,0.5,1.0,,Branding & huisstijl,,"Construction, real estate & housing",Groei & nieuwe markten,Gemengd,Familiebedrijf / gevestigd met historie,False
mick-middelman-5569a231,today,original340,1.875,alarmed;anubiscare;condoomnl;homeup;leonbosboomart;luxuryvillasonbonaire;middelmanwonen;yourlease,channel,1,0.556,0.184,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,0,,21,8,,,3,7,2,2,1,2,0,,0.0,0.625,0.667,0.286,0.5,0.5,1.0,0.5,,"SEA, display & overige paid advertising","Online marketing, performance & CRO",Nederland plus buurlanden,"Hospitality, tourism, sports & recreation",Advertenties & campagnes renderen niet,Webshop consumenten (D2C),,False
mignonne-van-eijkelenburg,today,original340,1.167,autobedrijfknoop;autobedrijfmoerman;buddeehr;hetproductiehuis;michielheijmans;returntosender,craft+channel,2,0.68,0.375,,,,,,,,,,,,,,,,,,,,0,,6,6,,,5,4,0,0,0,0,0,,0.0,0.0,0.8,0.5,,,,,,Social media organisch,Social media content & beheer,,,,,,False
mireille-elberse,today,original340,1.0,aspadvocaten;jantjebeton;motul;nsretail;rodekruis;servier;signaturefoods;stationshuiskamer;universiteitleiden;vinfast;westlandsalades,,0,,1.0,,,,,,,,,,,,,,,,,,,,0,,14,11,,,0,1,0,0,0,0,0,,0.0,0.0,,1.0,,,,,,,Employer branding & recruitment,,,,,,False
hansvduijn,today,original340,1.333,angela;arnoud;faya;joost;lisanne;steff,craft+channel,2,0.375,0.5,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,0,,7,6,,,4,6,1,0,1,1,1,,0.167,0.167,0.5,0.667,1.0,,1.0,1.0,1.0,Website & CMS,Branding & huisstijl,Nederlandse stad of plaats,,Lancering nieuw product of concept,Webshop consumenten (D2C),Startup / jong / groeiend,False
harborn.com_406,today,original340,1.731,albertschweitzerhospital;blauwhoed;cbm;dewittransport;euroindex;finnerz;giraf;holmatro;itanks;koni;lambweston;landelijkcentrumstudiekeuze;linkit;lumensfoundation;mindfoundation;municipalityhoekschewaard;municipalityofrotterdam;netherlandsrefugeefoundation;portlantis;riverbiomedics;santosbikes;vicompany;wiezewasjes;wijtechniek;ziekenhuisgeldersevallei;zorgenwelzijnplein,craft+job+channel+geo,4,0.52,0.433,0.625,0.138,0.554,1.0,,,,,,,,,,,,,,,,0,,35,26,,,5,21,4,15,11,1,0,,0.0,0.115,0.6,0.619,0.75,0.267,0.727,1.0,,Apps & custom platforms,Apps & maatwerk platforms,Nederlandse stad of plaats,Healthcare & care,Maatwerk software & efficiëntere processen,Webshop consumenten (D2C),,False
heartheyouth.com_408,today,original340,1.333,9292;adyen;audiodesk;beam;beat;boothclub;nation;njr;pourify;scapinoballetrotterdam;stadsmuseumgent;wtfff,,0,1.0,0.25,0.5,0.5,1.0,,1.0,,,,,,,,,,,,,,,0,,26,12,,,1,4,2,2,1,0,1,,0.083,0.083,1.0,0.25,0.5,0.5,1.0,,1.0,Social media organisch,Campagnes & creatieve concepten,Heel Nederland (landelijk),"Transport, logistics & automotive",Lancering nieuw product of concept,,Omvang in cijfers,False
beeinteractive.nl,today,control,2.0,benscore;dekammieshop;eurobob,craft+channel,2,0.556,1.0,0.5,0.333,0.5,0.5,,,,,,,,,,,,,,,,0,,3,3,,,3,3,2,3,2,2,0,2020,0.0,0.0,0.667,1.0,0.5,0.333,0.5,0.5,,SEO & organische vindbaarheid,SEO & vindbaarheid,Heel Nederland (landelijk),Retail & e-commerce (general consumer goods),Webshop & online verkoop,Webshop consumenten (D2C),,False
behaviourclub.nl,today,narrower,1.0,lelystad;vervoerregioamsterdam;vogelbescherming,,0,,,,,,,,,,,,,,,,,,,,,,0,,3,3,,,0,0,0,0,0,0,0,2023,0.0,0.0,,,,,,,,,,,,,,,False
bengelmedia.nl,today,control,1.263,amref;bbwasparfum;beasthealth;bolton;chdr;dekuyper;denederlandsekluis;easyhotel;essensor;exterioo;grandsud;ibood;ownesim;sheglam;shokz;slagerijgelderblom;thegoodroll;volero;woningruil24,craft,1,0.36,0.312,0.333,0.25,1.0,,,,,,,,,,,,,,,,,0,,22,19,,,5,8,3,4,1,0,0,2023,0.053,0.0,0.4,0.5,0.333,0.25,1.0,,,Social media organisch,Campagnes & creatieve concepten,Nederland plus buurlanden,Healthcare & care,Naamsbekendheid & zichtbaarheid,,,True
noahploeg,today,original340,1.143,3co;4cantera;bontgenoten;bythecreek;dehallenamsterdam;elementenstraat;fritesatelier;gr0w;icetubs;jimmywoo;kingsland;kruispunt;noart;onadailybasis;oxfordtalks;people;pizzabeppe;rever;skrendi;warnermusicbenelux;zeezout,industry,1,,0.309,,0.556,,1.0,,,,,,,,,,,,,,,,0,,25,21,,,0,9,0,3,0,1,0,,0.0,0.0,,0.444,,0.667,,1.0,,,Website & webdesign,,"Media, culture & entertainment",,Webshop consumenten (D2C),,False
norday.nl_413,today,original340,1.9,gemeenteamsterdamschoolwijzer;nederlandsbureauvoortoerismecongressen;onslandnl;oorlogvoorderechter;poetrypal;rivm;stichtingwo2net;thebe;theoceancleanup;wondercast,industry,1,,0.2,,0.383,,,,,,,,,,,,,,,,,,0,,11,10,,,0,5,0,9,0,0,0,,0.0,0.0,,0.2,,0.556,,,,,Campagnes & creatieve concepten,,"Media, culture & entertainment",,,,True
onlinemarketingmanagement,today,original340,1.75,doneereffectief;fairpricedvintage;goal3orgfoundation;schoolformoralambition,,0,0.5,0.333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,10,,14,4,,,2,3,1,1,1,0,0,,0.25,0.25,0.5,0.333,1.0,1.0,1.0,,,"SEA, display & overige paid advertising",Campagnes & creatieve concepten,Europa,"Fashion, beauty & personal goods",Groei & nieuwe markten,,,True
onlinemarketingutrecht,today,original340,1.24,achterderaad;charlottelabee;coolplant;csdpodcast;dewegvanjezelf;futurefinance;gooiconsult;gotoguy;groeivoer;johnnydemol;leadersinfood;learnvoicedialogue;legionelladossier;machielhoek;nvtz;nxtgenhightech;operai;robertbridgman;securancepodcast;talentcare;tandemkracht;timdouwsma;universiteitvangroningen;wegvanjezelf;zinindezorg,craft,1,,0.867,,,,,,,,,,,,,,,,,,,,0,,25,25,,,0,14,0,0,0,0,0,,0.0,0.24,,0.929,,,,,,,"Video, animatie & fotografie",,,,,,True
dickhoffdesign.com,today,control,1.0,beex;esterfondssvrap;zondagmiddagconcertennl,,0,,0.5,,,,,,,,,,,,,,,,,,,,0,,3,3,,,0,2,0,0,0,0,0,2023,0.0,0.0,,0.5,,,,,,,Branding & huisstijl,,,,,,False
diezign.nl,today,control,1.2,dordtsport;ijhcdordrechtlions;lotstrots;nutridynamics;swartwebdesignmhmediaoplossingen,,0,,1.0,,1.0,,,,,,,,,,,,,,,,,,0,,5,5,,,0,2,0,1,0,0,0,2020,0.0,0.0,,1.0,,1.0,,,,,"Grafisch ontwerp, drukwerk & print",,"Hospitality, tourism, sports & recreation",,,,False
digibit.nl,today,control,1.647,airtempheattechnology;autobedrijfvannieuwenhoven;dpsfashion;green2go;innerka;kdsstansvormen;mobitexpeterschaap;monumentenwachtlimburg;salonpurecolor;schietsportverenigingsurete;sociteitdeclub;stadsgildesintecatharina1480;stichtingbredero;stichtinglimburgsekastelen;taxigeeretsdeleeuw;voetbalverenigingdesm;weertcollecteert,craft,1,,1.0,,0.22,,,,,,,,,,,,,,,,,,0,,17,17,,,0,17,0,10,0,0,0,2025,0.0,0.0,,1.0,,0.3,,,,,Website & webdesign,,"Nonprofits, charities & associations",,,,False
digidee.nl,today,control,1.143,acutezorgeuregio;attendizdag;bouwstroomoost;onshuis;rostwente;tofovernachten;urbancityrun053,,0,,1.0,,,,,,,,,,,,,,,,,,,,0,,8,7,,,0,1,0,0,0,0,0,2024,0.143,0.0,,1.0,,,,,,,Employer branding & recruitment,,,,,,True
digimedion.nl,today,control,1.867,creativetentsystems;deliverysupport;derijdocent;derijdocentutrecht;haardcentrumhoevelaken;hollandsmaatwerk;karssenfinancieel;lifestylesalonlilou;memobanden;meubelspuiterij4all;newtonsolutions;ninabidault;stijlbadkamers;tandartsovername;tuinbankteak,craft,1,0.5,0.625,1.0,0.148,0.5,1.0,1.0,,,,,,,,,,,,,,,0,,28,15,,,2,4,2,13,2,1,1,2020,0.0,0.0,0.5,0.75,1.0,0.308,0.5,1.0,1.0,Website & CMS,Website & webdesign,Nederlandse stad of plaats,"Construction, real estate & housing",Advertenties & campagnes renderen niet,Consumentenmarkt offline,Startup / jong / groeiend,True
meewerk.com,today,control,1.0,beautybank;humaner,,0,,0.5,,,,,,,,,,,,,,,,,,,,0,,2,2,,,0,2,0,0,0,0,0,2024,0.0,0.0,,0.5,,,,,,,Apps & maatwerk platforms,,,,,,False
metmotion.nl,today,control,1.289,antea;blikopwerk;brandfriend;cycling4climate;deregenboog;deridder;dewaard;dhlexpress;emeainstartlogic;fossielvrij;gemeentestichtsevecht;helmondmetalen;inmotiepsychologie;inspectievanonderwijs;iwell;klimaatjouwportemonnee;maderninternational;natuurmilieu;nike;nji;nkc;nro;ofta;onvz;plantscout;pleinnl;quarantainenet;redband;sportlife;starthousing;storytellingacademy;theplaymakers;tkiurbanenergy;umcutrecht;universiteittwente;vbomakelaar;wsprojecten;zwartecross,craft,1,,0.539,,0.333,0.5,,,,,,,,,,,,,,,,,6,,54,38,,,0,25,0,3,2,0,0,2023,0.053,0.158,,0.72,,0.333,0.5,,,,"Video, animatie & fotografie",,"Energy, utilities & environment",Beter vindbaar in Google,,,True
mmnt.nl,today,control,2.2,beksbeks;finchdisputeresolution;resor;snpg;zorggroepdelaren,industry,1,,0.36,1.0,0.375,1.0,1.0,,,,,,,,,,,,,,,,0,,9,5,,,0,5,2,4,1,1,0,2023,0.2,0.0,,0.4,1.0,0.5,1.0,1.0,,,Branding & huisstijl,Nederlandse stad of plaats,Business & professional services,"Merk, huisstijl & verhaal",SaaS & software,,True
modernemeesters.nl,today,control,1.048,100vanleeghwater;12snorkel;amcnoord;andrkrul;ardbruin;axello;bakkerijkoning;bakkerkoning;beemsterkerkzinn;bigfruit;bitcoindebuut;condifit;dlcengineering;dormatec;dteeurope;duikforum;ebsgym;etmanagementandadvice;eulift;firekillingcap;fooddancejoy;fundamental;generalcarsparts;heilig;hoekbouma;hyundaifakkert;infinitysports;joydrinks;jurounirek;kapsalonzoess;kellyhaarmakeup;kidscampadam;kiewittenverhoevenadvocaten;knvb;koenis;landenzeezicht;leefstijlmagazine;medisportlagune;molenaarhoveniers;nedflex;nicjonk;nordichealth;ricoh;rodirotatiedruk;sanrayyoga;scoliosiscareclinic;skicentrumheerhugowaard;stucadoorsbedrijfdaniels;studis;styleintravel;sunweb;tankwas;tradus;trimsalondehoef;uitdeukserviceschagen;valkeringclassics;valkeringtweewielers;vandenbergslotenmaker;vdbcomputers;verheul;villawest;vsm;ziggo,industry+geo,2,,0.278,1.0,1.0,,,,,,,,,,,,,,,,,,0,,89,63,,,0,53,3,3,0,0,0,2023,0.0,0.0,,0.396,1.0,1.0,,,,,Website & webdesign,Nederlandse stad of plaats,"Transport, logistics & automotive",,,,True
natwerk.nl,today,control,1.0,artis;asa;bitonic;caiway;crocs;dirkvandenbroek;febo;foxit;guidinc;mauritshuis;nationalevacaturebank;tikkie;vedett;younited;zilverenkruis,,0,,0.28,1.0,,1.0,,,,,,,,,,,,,,,,,0,,15,15,,,0,5,1,0,1,0,0,2023,0.0,0.0,,0.4,1.0,,1.0,,,,Campagnes & creatieve concepten,Nederlandse stad of plaats,,"Meer leads, aanvragen & verkoop",,,False
